waypoint1	waypoint2	distance_m	duration_s
Vicksburg, MS	Nashville, TN	726146	23760
Austin, TX	Tupelo, MS	1211602	39889
Austin, TX	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1725755	57103
Vicksburg, MS	Great Sand Dunes Visitor Center, Mosca, CO	1722518	57893
Vicksburg, MS	Richmond, VA	1533562	49670
Vicksburg, MS	Oklahoma City, OK	908107	29890
Austin, TX	Las Vegas, NV	2036575	67621
Vicksburg, MS	Little Rock, AR	360657	13533
Charlottesville, VA	Fajada Butte View Point, Nageezi, NM 87037	3079030	101921
Austin, TX	Richmond, VA	2368415	76979
Austin, TX	Chattanooga, TN	1497558	49474
Vicksburg, MS	Dallas, TX	580600	18907
Austin, TX	San Antonio, TX	128428	4734
Chimayo, NM	Austin, TX	1153544	40446
Vicksburg, MS	Lafayette, LA	324377	13224
Chambers, AZ	Austin, TX	1415975	47511
Silverton, CO	Charlottesville, VA	3029141	102746
Austin, TX	Atlanta, GA	1494110	49493
Charlottesville, VA	Dallas, TX	1944926	63274
Silverton, CO	Austin, TX	1537349	54403
Natural Bridges Rd, Lake Powell, UT 84533	Charlottesville, VA	3332577	109089
Chimayo, NM	Charlottesville, VA	2871712	93312
Page, AZ	Charlottesville, VA	3461858	113259
Austin, TX	Lafayette, LA	611960	20476
Charlottesville, VA	Tupelo, MS	1161469	39264
Charlottesville, VA	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	644952	22619
Austin, TX	Charleston, SC	2026283	65964
Vicksburg, MS	Kansas City, MO	1035042	35553
Austin, TX	New Orleans, LA	823980	27768
Charlottesville, VA	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2203066	73001
Charlottesville, VA	C R 268A, Montezuma Creek, UT 84534	3099309	106505
Charlottesville, VA	Black Canyon of the Gunnison National Park, Montrose, CO	2917729	97869
Albuquerque, NM	Vicksburg, MS	1621051	52562
Charlottesville, VA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	3604102	116406
Charlottesville, VA	Lafayette, LA	1732329	56247
Austin, TX	Vicksburg, MS	817578	28070
Bryce Canyon National Park Visitor Center, Bryce, UT	Austin, TX	1993553	69687
Vicksburg, MS	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	940625	31775
Charlottesville, VA	Tulsa, OK	1845572	59973
Albuquerque, NM	Charlottesville, VA	2835972	91270
Charlottesville, VA	Memphis, TN	1217491	39668
Austin, TX	Dallas, TX	314413	10670
Charlottesville, VA	Co Road 7515, Bloomfield, NM 87413	3069322	100139
Vicksburg, MS	Black Canyon of the Gunnison National Park, Montrose, CO	1975055	68867
Austin, TX	Tulsa, OK	728366	25370
Charlottesville, VA	Asheville, NC	564835	19088
Vicksburg, MS	Grand Canyon National Park	2249514	73137
Vicksburg, MS	Spokane, WA	3651304	117063
Austin, TX	Linville, NC	1903511	63093
Oljato-Monument Valley, UT	Vicksburg, MS	2132184	71406
Vicksburg, MS	Terlingua, TX	1508901	50133
Austin, TX	Chinle, AZ	1485118	51059
Austin, TX	Yellowstone National Park Visitor Center	2359159	84507
Charlottesville, VA	Charleston, SC	796822	25639
Vicksburg, MS	Co Road 7515, Bloomfield, NM 87413	1854393	61538
Charlottesville, VA	Great Sand Dunes Visitor Center, Mosca, CO	2725872	89807
Charlottesville, VA	Nashville, TN	878149	28803
Charlottesville, VA	Terlingua, TX	2872030	94731
Austin, TX	Charlottesville, VA	2258970	73503
Albuquerque, NM	Austin, TX	1117804	38404
Charlottesville, VA	Yellowstone National Park Visitor Center	3383467	115258
Vicksburg, MS	Tupelo, MS	367402	13187
Vicksburg, MS	C R 268A, Montezuma Creek, UT 84534	2072530	69852
Page, AZ	Austin, TX	1743690	60394
Charlottesville, VA	San Antonio, TX	2388506	77155
Austin, TX	Co Road 7515, Bloomfield, NM 87413	1350261	47143
Charlottesville, VA	Oklahoma City, OK	1967471	63939
Charlottesville, VA	Indianola, MS	1410819	47331
Vicksburg, MS	New Orleans, LA	332949	11628
Vicksburg, MS	Chinle, AZ	1989250	65454
Teasdale, UT	Austin, TX	1884026	67577
Vicksburg, MS	Tulsa, OK	795519	27580
Page, AZ	Vicksburg, MS	2246937	74551
Vicksburg, MS	Memphis, TN	396517	13059
Charlottesville, VA	Atlanta, GA	823015	28147
Austin, TX	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	1608542	54925
Vicksburg, MS	Atlanta, GA	680219	22142
Vicksburg, MS	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	915638	30654
Vicksburg, MS	Indianola, MS	153270	5962
Vicksburg, MS	Linville, NC	1093394	36644
Austin, TX	Oklahoma City, OK	625579	20849
Vicksburg, MS	Carlsbad, NM	1316773	43086
Austin, TX	Kansas City, MO	1187218	37966
Bryce Canyon National Park Visitor Center, Bryce, UT	Vicksburg, MS	2496800	83845
Vicksburg, MS	Fajada Butte View Point, Nageezi, NM 87037	1864101	63319
Charlottesville, VA	Las Vegas, NV	3755636	120617
Charlottesville, VA	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	3046770	104830
Vicksburg, MS	Asheville, NC	1014047	33841
Austin, TX	Fajada Butte View Point, Nageezi, NM 87037	1359969	48924
Charlottesville, VA	Little Rock, AR	1437347	46974
Silverton, CO	Vicksburg, MS	2040597	68561
Austin, TX	Las Cruces, NM	1000765	32538
Bryce Canyon National Park Visitor Center, Bryce, UT	Lincoln, NE	1689519	54967
Teasdale, UT	Lincoln, NE	1504377	49636
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Lincoln, NE	1341662	43162
Lincoln, NE	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	1611566	55757
Austin, TX	Lincoln, NE	1323465	43345
Lincoln, NE	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1808845	58533
Lincoln, NE	Atlanta, GA	1598962	52836
Lincoln, NE	Linville, NC	1722648	57816
Lincoln, NE	Little Rock, AR	992450	33349
Page, AZ	Lincoln, NE	1786296	58882
Lincoln, NE	Chinle, AZ	1667131	55387
Flagstaff, AZ	Lincoln, NE	1855072	61359
Lincoln, NE	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	1544893	51826
Lincoln, NE	Asheville, NC	1672670	55612
Natural Bridges Rd, Lake Powell, UT 84533	Lincoln, NE	1536553	51131
Lincoln, NE	Spokane, WA	2318127	73916
Lincoln, NE	Black Canyon of the Gunnison National Park, Montrose, CO	1201054	41345
Las Cruces, NM	Lincoln, NE	1515736	54671
Terlingua, TX	Lincoln, NE	1769538	59142
Lincoln, NE	Grand Canyon National Park	1835933	60995
Silverton, CO	Lincoln, NE	1300105	46101
Albuquerque, NM	Lincoln, NE	1340135	45421
Chimayo, NM	Lincoln, NE	1207734	43683
Lincoln, NE	Memphis, TN	1038093	37055
Oljato-Monument Valley, UT	Lincoln, NE	1581968	52178
Lincoln, NE	San Antonio, TX	1451058	47871
Lincoln, NE	Lafayette, LA	1489878	52828
Lincoln, NE	New Orleans, LA	1673607	57199
Lincoln, NE	Dallas, TX	1032240	34052
Lincoln, NE	Las Vegas, NV	1984382	63195
Lincoln, NE	Yellowstone National Park Visitor Center	1470405	52644
Lincoln, NE	C R 268A, Montezuma Creek, UT 84534	1542368	51919
Lincoln, NE	St. Louis, MO	711114	24185
Chambers, AZ	Lincoln, NE	1633987	54342
Lincoln, NE	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	488884	16060
Lincoln, NE	Kansas City, MO	313495	11178
Lincoln, NE	Nashville, TN	1205576	39955
Lincoln, NE	Tulsa, OK	621026	23503
Carlsbad, NM	Lincoln, NE	1411447	49692
Lincoln, NE	Indianola, MS	1264353	43529
Lincoln, NE	Savannah, GA	1997681	65335
Lincoln, NE	Richmond, VA	2030537	66849
Lincoln, NE	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1408386	50833
Lincoln, NE	Co Road 7515, Bloomfield, NM 87413	1424785	50555
Lincoln, NE	Charleston, SC	2086511	68971
Lincoln, NE	Oklahoma City, OK	705321	23437
Lincoln, NE	Great Sand Dunes Visitor Center, Mosca, CO	1046658	37235
Lincoln, NE	Tupelo, MS	1208364	42991
Lincoln, NE	Chattanooga, TN	1413307	46674
Lincoln, NE	Fajada Butte View Point, Nageezi, NM 87037	1392467	53312
Vicksburg, MS	Lincoln, NE	1347347	46550
Charlottesville, VA	Lincoln, NE	1920434	63467
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Oklahoma City, OK	2348308	78558
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	914626	35123
Glacier National Park	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3380479	112243
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Little Rock, AR	2967423	96565
Manzanar, Manzanar Reward Rd, California	Carlsbad, NM	1796759	58025
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Savannah, GA	4106632	135129
Olympia, WA	Atlanta, GA	4305614	140927
Tillamook, OR	Chinle, AZ	2041343	70245
Bandon, OR	Yellowstone National Park Visitor Center	1595672	59388
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Atlanta, GA	3686072	119989
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Bryce Canyon National Park Visitor Center, Bryce, UT	1138691	39533
Linville, NC	Seattle, WA	4364474	143476
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Seattle, WA	871973	32387
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Seattle, WA	1471169	53075
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Fajada Butte View Point, Nageezi, NM 87037	1383815	51084
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Bryce Canyon National Park Visitor Center, Bryce, UT	1154271	45001
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Black Canyon of the Gunnison National Park, Montrose, CO	1336926	46978
Olympia, WA	Oljato-Monument Valley, UT	2009584	67998
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Savannah, GA	4482903	145055
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	275324	14461
Tillamook, OR	C R 268A, Montezuma Creek, UT 84534	1916580	66776
Dallas, TX	Seattle, WA	3347540	112346
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Terlingua, TX	1849672	62987
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2575783	84834
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Manzanar, Manzanar Reward Rd, California	473067	19596
Chinle, AZ	Seattle, WA	2042181	68934
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Chambers, AZ	813855	27383
Glacier National Park	Tupelo, MS	3141404	107132
Tillamook, OR	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	4304439	143326
Tillamook, OR	Asheville, NC	4365543	143182
Manzanar, Manzanar Reward Rd, California	Tulsa, OK	2386451	75840
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Albuquerque, NM	1116449	36956
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Lafayette, LA	3223136	105119
Manzanar, Manzanar Reward Rd, California	Seattle, WA	1538006	56565
Manzanar, Manzanar Reward Rd, California	Charleston, SC	4072866	131131
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Kansas City, MO	2814465	93428
Olympia, WA	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	1595294	58048
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Tahoe City, CA	262366	12613
Tillamook, OR	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1849121	61550
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Oklahoma City, OK	2488832	82465
Spokane, WA	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	1719475	63282
Tahoe City, CA	Richmond, VA	4353298	140077
Glacier National Park	Oljato-Monument Valley, UT	1654677	56242
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Glacier National Park	1837022	61295
Olympia, WA	Vicksburg, MS	4059418	132101
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3757263	122867
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Tupelo, MS	2900668	94061
Fajada Butte View Point, Nageezi, NM 87037	Seattle, WA	2136447	74829
Tahoe City, CA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1011903	37278
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Little Rock, AR	2525326	81428
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	951577	30739
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Lincoln, NE	2835843	94294
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Charleston, SC	4914430	162485
Bandon, OR	C R 268A, Montezuma Creek, UT 84534	2009089	72578
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Bandon, OR	1168306	42451
Spokane, WA	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	1425081	51098
Glacier National Park	Lafayette, LA	3404206	111633
Olympia, WA	Bryce Canyon National Park Visitor Center, Bryce, UT	1832333	60139
Manzanar, Manzanar Reward Rd, California	C R 268A, Montezuma Creek, UT 84534	1156987	42072
Glacier National Park	Vicksburg, MS	3280031	110422
Lafayette, LA	Seattle, WA	3976012	132180
Bandon, OR	Natural Bridges Rd, Lake Powell, UT 84533	1972852	70930
Little Rock, AR	Seattle, WA	3654467	117659
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Charlottesville, VA	4406313	143092
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Lafayette, LA	3938043	126997
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Nashville, TN	3576845	117441
Glacier National Park	Fajada Butte View Point, Nageezi, NM 87037	1832855	64938
Bandon, OR	Little Rock, AR	3770489	126149
Bandon, OR	New Orleans, LA	4423970	142573
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	284202	14503
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	St. Louis, MO	3225120	104967
Tillamook, OR	Seattle, WA	394299	14578
Tahoe City, CA	Grand Canyon National Park	1154515	42663
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Tillamook, OR	1242493	46611
Glacier National Park	Terlingua, TX	2870696	96631
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Oljato-Monument Valley, UT	1237472	44818
Flagstaff, AZ	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	591318	20717
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	C R 268A, Montezuma Creek, UT 84534	1641628	56714
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Chinle, AZ	1656126	58032
Olympia, WA	Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	974887	34299
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Vicksburg, MS	3856449	126674
Bandon, OR	St. Louis, MO	3521822	119434
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Glacier National Park	1597174	58101
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Memphis, TN	3072839	99717
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1517060	57564
Bandon, OR	Charlottesville, VA	4731799	158622
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	St. Louis, MO	3539033	117699
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Indianola, MS	3920563	129314
New Orleans, LA	Seattle, WA	4160887	138909
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Vicksburg, MS	3075557	100560
Tahoe City, CA	Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	360786	18707
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Charlottesville, VA	4390133	142813
Olympia, WA	Bandon, OR	578127	21359
Bandon, OR	Las Cruces, NM	2598280	85286
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Nashville, TN	3513276	114362
Tahoe City, CA	Bryce Canyon National Park Visitor Center, Bryce, UT	991810	38510
Tillamook, OR	Lincoln, NE	2700797	88349
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Lincoln, NE	2624535	87577
Tillamook, OR	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1717088	58185
Tahoe City, CA	Little Rock, AR	3132954	101767
Bandon, OR	Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	4422273	151007
Flagstaff, AZ	Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	1033952	36064
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Carlsbad, NM	1904542	63313
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Tupelo, MS	4024002	131767
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	361260	13230
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Fajada Butte View Point, Nageezi, NM 87037	1547040	57708
Bandon, OR	Asheville, NC	4483378	150862
Tahoe City, CA	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	582809	22566
Bandon, OR	Black Canyon of the Gunnison National Park, Montrose, CO	2010739	71500
Tahoe City, CA	Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	586821	23542
Manzanar, Manzanar Reward Rd, California	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	635380	23662
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Richmond, VA	4499578	146289
Tillamook, OR	Teasdale, UT	1686583	57166
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Tupelo, MS	3406335	112277
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Chambers, AZ	1255952	42520
Tillamook, OR	Atlanta, GA	4291835	140406
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Chattanooga, TN	3614966	117126
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	4372812	145340
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Teasdale, UT	1557023	59499
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Silverton, CO	1412509	50838
Bandon, OR	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	4355601	147076
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Glacier National Park	2048197	72521
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Grand Canyon National Park	1316976	49154
Manzanar, Manzanar Reward Rd, California	Chinle, AZ	1120697	37506
Tahoe City, CA	Charlottesville, VA	4243852	136601
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Black Canyon of the Gunnison National Park, Montrose, CO	1650194	56029
Manzanar, Manzanar Reward Rd, California	Lincoln, NE	2353888	76850
Tahoe City, CA	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	2413322	78342
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Grand Canyon National Park	1750862	59755
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Little Rock, AR	3648660	119134
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Atlanta, GA	3785727	123534
